date,close,high,volume
2026-02-11,15.85,16.2,96816946
2026-02-24,16.02,16.77,149279713
2026-02-27,16.87,16.9,119222275
2026-03-04,15.19,15.58,93885568
2026-03-09,14.28,14.35,136344699
2026-03-12,13.93,14.28,110781696
2026-03-17,12.87,13.3,88833276
2026-03-20,11.51,12.03,157451807
2026-03-25,12.21,12.33,187183719
2026-03-30,12.55,12.61,118192064
2026-04-02,13.54,13.85,170206937
2026-04-08,14.47,14.55,174758491
